0, 1
0, 2
0, 3
0, 4
0, 5
0, 6
1, 2
1, 4
1, 5
1, 7
1, 6
1, 8
2, 1
2, 4
2, 5
2, 7
2, 8
2, 6
3, 9
3, 0
3, 10
3, 0
3, 1
3, 11
4, 2
4, 5
4, 1
4, 7
4, 12
4, 8
5, 7
5, 4
5, 2
5, 1
5, 8
5, 6
6, 13
6, 14
6, 8
6, 7
6, 5
6, 2
7, 5
7, 8
7, 4
7, 2
7, 14
7, 6
8, 7
8, 14
8, 5
8, 6
8, 2
8, 4
9, 3
9, 10
9, 11
9, 15
9, 1
9, 2
10, 9
10, 11
10, 3
10, 1
10, 2
10, 5
11, 10
11, 9
11, 2
11, 1
11, 3
11, 4
12, 13
12, 6
12, 5
12, 4
12, 8
12, 1
13, 6
13, 14
13, 8
13, 5
13, 7
13, 12
14, 6
14, 8
14, 7
14, 13
14, 5
14, 2
15, 9
15, 16
15, 0
15, 10
15, 11
15, 2
